0 0.00411732
0.01 0.0233747
0.02 0.0426321
0.03 0.0618895
0.04 0.0811469
0.05 0.100404
0.06 0.119662
0.07 0.138919
0.08 0.158177
0.09 0.177434
0.1 0.196691
0.11 0.215949
0.12 0.235206
0.13 0.254464
0.14 0.273721
0.15 0.292978
0.16 0.312236
0.17 0.331493
0.18 0.350751
0.19 0.370008
0.2 0.389265
0.21 0.408523
0.22 0.42778
0.23 0.447038
0.24 0.466295
0.25 0.492779
0.26 0.507322
0.27 0.521864
0.28 0.536407
0.29 0.550949
0.3 0.565492
0.31 0.580034
0.32 0.594577
0.33 0.609119
0.34 0.623662
0.35 0.638204
0.36 0.652747
0.37 0.667289
0.38 0.681832
0.39 0.696374
0.4 0.710917
0.41 0.725459
0.42 0.740002
0.43 0.754544
0.44 0.769087
0.45 0.783629
0.46 0.798172
0.47 0.812714
0.48 0.827257
0.49 0.841799
0.5 0.860791
0.51 0.867058
0.52 0.873325
0.53 0.879593
0.54 0.88586
0.55 0.892127
0.56 0.898394
0.57 0.904661
0.58 0.910928
0.59 0.917195
0.6 0.923462
0.61 0.92973
0.62 0.935997
0.63 0.942264
0.64 0.948531
0.65 0.954798
0.66 0.961065
0.67 0.967332
0.68 0.973599
0.69 0.979866
0.7 0.986134
0.71 0.992401
0.72 0.998668
0.73 1.00493
0.74 1.0112
0.75 1.01805
0.76 1.01451
0.77 1.01097
0.78 1.00742
0.79 1.00388
0.8 1.00034
0.81 0.996796
0.82 0.993253
0.83 0.98971
0.84 0.986167
0.85 0.982625
0.86 0.979082
0.87 0.975539
0.88 0.971997
0.89 0.968454
0.9 0.964911
0.91 0.961369
0.92 0.957826
0.93 0.954283
0.94 0.950741
0.95 0.947198
0.96 0.943655
0.97 0.940113
0.98 0.93657
0.99 0.933027
1 0.929484
